Date	Close value	Simple (14)	Simple (20)	Enveloped (3.0% 14)	Enveloped (5.0% 14)	Enveloped (3.0% 20)	Enveloped (5.0% 20)	Double (7/14)	Double (5/20)	Triple (4/9/18)	Exponential (7)	Exponential (14)	Exponential (20)
2019-07-01	10583.134766	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0
2019-07-02	1.0206501167028605	1.0206501167	1.0206501167	1.0206501167	1.0206501167	1.0206501167	1.0206501167	1.0206501167	1.0206501167	1.0206501167	1.0206501167	1.0206501167	1.0206501167
2019-07-03	1.1073529340122785	1.1073529339851198	1.1073529339851198	1.1073529339851198	1.1073529339851198	1.1073529339851198	1.1073529339851198	1.1073529339851198	1.1073529339851198	1.1073529339851198	1.0	1.0	1.0
2019-07-04	0.9376460810395562	0.9376460810688789	0.9376460810688789	0.9376460810688789	0.9376460810688789	0.9376460810688789	0.9376460810688789	0.9376460810688789	0.9376460810688789	0.9376460810688789	0.9376460810039704	0.9376460810039704	0.9376460810039704
2019-07-05	0.9788704150863486	0.9788704150985684	0.9788704150985684	0.9788704150985684	0.9788704150985684	0.9788704150985684	0.9788704150985684	0.9788704150985684	0.9788704150985684	0.9788704150985684	1.0	1.0	1.0
2019-07-06	1.020958387680729	1.0209583876828234	1.0209583876828234	1.0209583876828234	1.0209583876828234	1.0209583876828234	1.0209583876828234	1.0209583876828234	1.0209583876828234	1.0209583876828234	1.0	1.0	1.0
2019-07-07	1.0216170585951865	1.0216170585511466	1.0216170585511466	1.0216170585511466	1.0216170585511466	1.0216170585511466	1.0216170585511466	1.0216170585511466	1.0216170585511466	1.0216170585511466	1.0	1.0	1.0
2019-07-08	1.0729300942836482	1.0729300942853315	1.0729300942853315	1.0729300942853315	1.0729300942853315	1.0729300942853315	1.0729300942853315	1.0729300942853315	1.0729300942853315	1.0729300942853315	1.0729300943719227	1.0729300943719227	1.0729300943719227
2019-07-09	1.0234295519985144	1.0234295520339685	1.0234295520339685	1.0234295520339685	1.0234295520339685	1.0234295520339685	1.0234295520339685	1.0234295520339685	1.0234295520339685	1.0234295520339685	1.0234295519968406	1.0234295519968406	1.0234295519968406
2019-07-10	0.9668119907943593	0.9668119907466999	0.9668119907466999	0.9668119907466999	0.9668119907466999	0.9668119907466999	0.9668119907466999	0.9668119907466999	0.9668119907466999	0.9668119907466999	0.9668119907502918	0.9668119907502918	0.9668119907502918
2019-07-11	0.9343684651990569	0.934368465206219	0.934368465206219	0.934368465206219	0.934368465206219	0.934368465206219	0.934368465206219	0.934368465206219	0.934368465206219	0.934368465206219	0.9343684651588985	0.9343684651588985	0.9343684651588985
2019-07-12	1.04026215540276	1.040262155409802	1.040262155409802	1.040262155409802	1.040262155409802	1.040262155409802	1.040262155409802	1.040262155409802	1.040262155409802	1.040262155409802	1.0	1.0	1.0
2019-07-13	0.9641496350587178	0.9641496350869379	0.9641496350869379	0.9641496350869379	0.9641496350869379	0.9641496350869379	0.9641496350869379	0.9641496350869379	0.9641496350869379	0.9641496350869379	1.0	0.9641496351218647	0.9641496351218647
2019-07-14	0.9002560991540111	0.9002560991535192	0.9002560991535192	0.9002560991535192	0.9002560991535192	0.9002560991535192	0.9002560991535192	0.9002560991535192	0.9002560991535192	0.9002560991535192	1.0	1.0	1.0
2019-07-15	1.062307683223831	1.0	1.0623076832072074	1.0	1.0623076832072074	1.0623076832072074	1.0623076832072074	1.0	1.0623076832072074	1.0623076832072074	1.0	1.0	1.0
2019-07-16	0.8699002704616888	1.0	0.8699002704328915	1.0	0.8699002704328915	0.8699002704328915	0.8699002704328915	1.0	0.8699002704328915	0.8699002704328915	1.0	1.0	1.0
2019-07-17	1.0228074811305785	1.0	1.0228074811202283	1.0	1.0	1.0228074811202283	1.0228074811202283	1.0	1.0228074811202283	1.0	1.0	1.0	1.0
2019-07-18	1.1003403632909123	1.0	1.1003403633132132	1.0	1.0	1.1003403633132132	1.1003403633132132	1.0	1.1003403633132132	1.0	1.0	1.0	1.0
2019-07-19	0.9872732176710842	1.0	0.9872732176879087	1.0	1.0	0.9872732176879087	0.9872732176879087	1.0	0.9872732176879087	1.0	0.9872732176910464	1.0	1.0
2019-07-20	1.022449267204446	1.0	1.0224492672457457	1.0	1.0	1.0224492672457457	1.0224492672457457	1.0	1.0224492672457457	1.0	1.0224492672317667	1.0	1.0
2019-07-21	0.9843937958925597	1.0	0.9843937958522048	1.0	1.0	0.9843937958522048	0.9843937958522048	1.0	0.9843937958522048	1.0	0.9843937958672504	0.9843937958353657	1.0
2019-07-22	0.9758471104237296	1.0	1.0	1.0	1.0	1.0	0.9758471104276351	1.0	0.9758471104276351	1.0	0.9758471104743867	1.0	1.0
2019-07-23	0.9572334608222242	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2019-07-24	0.9910267768332011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2019-07-25	1.0101831198309184	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2019-07-26	0.9958092464699577	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
